student_id,name,email,phone,department,semester,attendance_percentage,cgpa,backlogs,fees_pending,fees_amount_due,quiz_score_avg,bot_engagement_score,counselling_sessions
S024,Priya Singh,priya.singh24@example.com,9876500024,ME,3,84.7,9.41,0,false,0,67.7,21.3,0
S025,Diya Joshi,diya.joshi25@example.com,9876500025,ECE,3,87.1,6.22,0,false,0,82.3,50.9,3
S026,Manav Singh,manav.singh26@example.com,9876500026,IT,6,56.4,7.68,4,true,5000,88.9,45.8,1
S027,Rohan Kaur,rohan.kaur27@example.com,9876500027,CSE,4,83.2,8.87,4,false,0,40.2,47.8,0
S028,Aditya Nair,aditya.nair28@example.com,9876500028,EEE,5,87.4,5.32,0,false,0,71.1,21.3,0
S029,Aarav Das,aarav.das29@example.com,9876500029,EEE,8,40.7,6.22,0,false,0,84.9,47.0,1
S030,Aditya Kaur,aditya.kaur30@example.com,9876500030,EEE,4,43.6,8.76,0,false,0,88.9,73.3,4
S031,Neeraj Nair,neeraj.nair31@example.com,9876500031,EEE,8,78.0,5.68,1,false,0,88.7,27.7,0
S032,Aarav Nair,aarav.nair32@example.com,9876500032,EEE,7,80.6,8.19,3,false,0,54.7,65.4,1
S033,Aditya Mehta,aditya.mehta33@example.com,9876500033,ME,8,79.9,7.76,0,false,0,58.6,71.7,4
S034,Diya Kaur,diya.kaur34@example.com,9876500034,IT,7,80.4,4.96,1,true,20000,64.1,44.0,2
S035,Manav Rao,manav.rao35@example.com,9876500035,CE,1,54.1,5.54,2,true,20000,70.0,76.7,4
S036,Rahul Rao,rahul.rao36@example.com,9876500036,ECE,4,59.3,4.59,3,true,20000,86.9,41.6,0
S037,Aarav Nair,aarav.nair37@example.com,9876500037,ME,1,43.0,4.76,0,true,12000,88.1,48.8,1
S038,Rohan Kaur,rohan.kaur38@example.com,9876500038,ME,8,78.5,5.43,0,true,8000,72.9,44.7,0
S039,Rahul Das,rahul.das39@example.com,9876500039,IT,1,50.5,7.22,0,false,0,82.0,41.4,2
S040,Kriti Patel,kriti.patel40@example.com,9876500040,ME,3,91.4,8.91,1,true,5000,54.5,67.4,3
S041,Aarav Joshi,aarav.joshi41@example.com,9876500041,ECE,5,46.2,7.64,2,false,0,68.0,77.4,0
S042,Neeraj Kaur,neeraj.kaur42@example.com,9876500042,CE,7,52.4,7.37,0,false,0,75.2,41.6,3
S043,Manav Sharma,manav.sharma43@example.com,9876500043,ME,3,82.1,7.33,3,false,0,80.9,65.5,4
S044,Aditya Mehta,aditya.mehta44@example.com,9876500044,EEE,4,64.4,7.3,0,false,0,78.8,67.0,2
S045,Sneha Sharma,sneha.sharma45@example.com,9876500045,EEE,4,91.5,8.74,3,true,8000,75.5,67.6,1
S046,Priya Joshi,priya.joshi46@example.com,9876500046,CE,8,68.6,4.55,0,false,0,72.3,75.2,3
S047,Neeraj Sharma,neeraj.sharma47@example.com,9876500047,EEE,1,87.4,7.21,4,false,0,54.8,77.6,3
S048,Rohan Singh,rohan.singh48@example.com,9876500048,ME,3,82.8,5.7,3,false,0,71.7,45.1,1
S049,Isha Das,isha.das49@example.com,9876500049,CSE,3,89.6,8.83,0,false,0,73.7,43.3,0
S050,Kriti Sharma,kriti.sharma50@example.com,9876500050,ME,6,86.5,8.89,4,false,0,83.1,71.5,4
S051,Diya Singh,diya.singh51@example.com,9876500051,ME,2,57.0,6.07,0,false,0,77.0,55.9,3
S052,Manav Rao,manav.rao52@example.com,9876500052,EEE,4,77.3,7.78,2,false,0,44.4,63.2,2
S053,Diya Kaur,diya.kaur53@example.com,9876500053,CE,6,90.5,8.33,0,false,0,60.4,42.3,1
S054,Aarav Patel,aarav.patel54@example.com,9876500054,CSE,8,87.4,8.02,0,true,20000,48.8,72.1,3
S055,Simran Rao,simran.rao55@example.com,9876500055,CSE,7,85.8,5.95,1,false,0,68.2,72.7,1
S056,Aarav Verma,aarav.verma56@example.com,9876500056,ME,5,73.1,6.24,1,false,0,50.3,72.0,4
S057,Aarav Joshi,aarav.joshi57@example.com,9876500057,CE,7,72.2,5.44,1,false,0,48.1,24.4,2
S058,Sneha Nair,sneha.nair58@example.com,9876500058,CE,5,65.7,8.92,2,false,0,47.3,58.0,1
S059,Sneha Nair,sneha.nair59@example.com,9876500059,CE,4,62.4,7.13,3,true,12000,67.4,24.6,4
S060,Manav Joshi,manav.joshi60@example.com,9876500060,EEE,8,61.1,4.55,1,false,0,52.1,71.7,1
S061,Diya Kaur,diya.kaur61@example.com,9876500061,ME,6,43.9,5.19,2,true,8000,83.9,45.3,2
S062,Aarav Das,aarav.das62@example.com,9876500062,EEE,7,63.7,7.35,1,false,0,55.1,23.4,3
S063,Rahul Nair,rahul.nair63@example.com,9876500063,EEE,5,82.0,9.42,3,true,12000,79.4,29.4,4
S064,Rahul Das,rahul.das64@example.com,9876500064,ME,1,87.7,6.29,1,false,0,73.1,72.7,0
S065,Diya Sharma,diya.sharma65@example.com,9876500065,CSE,3,65.7,6.46,4,false,0,44.1,30.1,2
S066,Sneha Kaur,sneha.kaur66@example.com,9876500066,ECE,8,88.0,7.84,4,false,0,74.8,52.8,0
S067,Diya Singh,diya.singh67@example.com,9876500067,ME,8,79.9,5.56,0,true,15000,89.6,57.7,4
S068,Priya Kaur,priya.kaur68@example.com,9876500068,IT,5,94.2,8.82,4,false,0,45.5,52.9,3
S069,Rohan Verma,rohan.verma69@example.com,9876500069,ECE,3,69.1,4.78,2,true,15000,40.6,24.0,0
S070,Aarav Joshi,aarav.joshi70@example.com,9876500070,EEE,2,63.8,7.84,3,false,0,63.6,69.8,2
S071,Aditya Sharma,aditya.sharma71@example.com,9876500071,CSE,4,73.7,8.78,3,false,0,61.9,75.5,3
S072,Aditya Rao,aditya.rao72@example.com,9876500072,ME,3,48.1,4.93,4,false,0,56.0,68.4,0
S073,Kriti Das,kriti.das73@example.com,9876500073,ME,7,66.2,4.87,0,false,0,57.4,35.1,3
S074,Aditya Joshi,aditya.joshi74@example.com,9876500074,ME,3,81.9,6.68,0,false,0,89.0,69.3,0
S075,Simran Joshi,simran.joshi75@example.com,9876500075,IT,2,58.0,5.43,1,false,0,82.8,31.4,4
S076,Isha Das,isha.das76@example.com,9876500076,IT,4,83.2,6.91,0,false,0,47.4,46.9,2
S077,Kriti Joshi,kriti.joshi77@example.com,9876500077,EEE,2,94.0,4.67,0,true,8000,66.4,58.7,2
S078,Neeraj Mehta,neeraj.mehta78@example.com,9876500078,ME,6,56.1,8.81,0,true,20000,75.0,72.1,3
S079,Sneha Joshi,sneha.joshi79@example.com,9876500079,CSE,1,47.3,7.44,1,false,0,41.1,74.8,2
S080,Diya Das,diya.das80@example.com,9876500080,CSE,1,56.4,7.16,0,true,12000,58.8,35.0,1
S081,Sneha Mehta,sneha.mehta81@example.com,9876500081,CE,7,41.2,8.45,2,false,0,70.4,75.0,3
S082,Rohan Patel,rohan.patel82@example.com,9876500082,ME,3,84.8,6.55,2,true,12000,49.9,55.7,2
S083,Priya Patel,priya.patel83@example.com,9876500083,ME,8,82.4,6.43,2,false,0,47.6,71.3,1
S084,Sneha Joshi,sneha.joshi84@example.com,9876500084,CSE,7,85.1,8.68,0,true,12000,66.1,66.6,3
S085,Sneha Verma,sneha.verma85@example.com,9876500085,ECE,1,86.9,8.07,1,true,12000,69.6,31.6,4
S086,Diya Sharma,diya.sharma86@example.com,9876500086,IT,7,60.3,6.57,4,true,15000,84.0,51.5,4
S087,Diya Rao,diya.rao87@example.com,9876500087,IT,8,65.0,6.26,2,false,0,66.0,24.5,0
S088,Neeraj Rao,neeraj.rao88@example.com,9876500088,CSE,2,77.9,6.23,3,false,0,50.1,66.1,2
S089,Aditya Sharma,aditya.sharma89@example.com,9876500089,EEE,7,82.6,7.62,2,true,12000,82.0,38.3,3
S090,Diya Nair,diya.nair90@example.com,9876500090,ECE,8,62.9,8.87,4,true,8000,71.7,72.4,1
S091,Kriti Joshi,kriti.joshi91@example.com,9876500091,IT,3,71.0,8.03,0,true,12000,88.6,27.2,3
S092,Aditya Sharma,aditya.sharma92@example.com,9876500092,CE,3,41.6,5.47,2,true,12000,63.5,62.1,4
S093,Sneha Das,sneha.das93@example.com,9876500093,IT,5,43.8,6.51,1,true,20000,73.5,54.4,1
S094,Manav Nair,manav.nair94@example.com,9876500094,CSE,2,46.1,7.32,3,false,0,48.4,54.6,0
S095,Rohan Das,rohan.das95@example.com,9876500095,CSE,5,45.2,4.72,4,false,0,71.7,49.2,3
S096,Isha Kaur,isha.kaur96@example.com,9876500096,ME,7,65.2,8.32,1,false,0,72.4,25.0,3
S097,Diya Sharma,diya.sharma97@example.com,9876500097,IT,6,94.3,4.89,3,false,0,56.1,26.7,4
S098,Isha Patel,isha.patel98@example.com,9876500098,CE,2,47.5,4.85,0,true,15000,42.2,61.8,0
S099,Neeraj Kaur,neeraj.kaur99@example.com,9876500099,IT,1,69.6,5.38,4,false,0,76.0,78.5,1
S100,Priya Patel,priya.patel100@example.com,9876500100,ECE,5,53.8,7.92,0,false,0,50.0,64.1,2
S101,Manav Singh,manav.singh101@example.com,9876500101,ME,6,79.8,7.56,2,true,8000,84.9,41.9,4
S102,Neeraj Singh,neeraj.singh102@example.com,9876500102,IT,1,93.5,7.58,1,true,5000,67.1,20.4,1
S103,Sneha Kaur,sneha.kaur103@example.com,9876500103,CE,1,49.2,6.16,4,false,0,65.8,42.7,4
S104,Neeraj Joshi,neeraj.joshi104@example.com,9876500104,IT,1,75.0,8.05,0,true,12000,60.9,27.0,1
S105,Simran Mehta,simran.mehta105@example.com,9876500105,CE,8,44.9,5.13,1,true,15000,85.1,28.8,2
S106,Rohan Singh,rohan.singh106@example.com,9876500106,ECE,5,85.9,9.39,3,true,15000,61.6,58.3,0
S107,Manav Patel,manav.patel107@example.com,9876500107,CE,3,41.5,4.82,3,false,0,53.6,23.4,3
S108,Manav Rao,manav.rao108@example.com,9876500108,ME,3,93.2,6.91,2,false,0,63.6,50.6,4
S109,Aditya Kaur,aditya.kaur109@example.com,9876500109,IT,8,70.1,4.78,4,false,0,50.6,23.7,1
S110,Aarav Mehta,aarav.mehta110@example.com,9876500110,ME,4,42.4,4.65,4,false,0,84.7,58.8,2
S111,Simran Joshi,simran.joshi111@example.com,9876500111,CE,5,60.0,6.42,1,true,12000,76.2,26.3,2
S112,Isha Das,isha.das112@example.com,9876500112,CSE,7,69.8,7.49,0,false,0,84.7,61.9,1
S113,Sneha Singh,sneha.singh113@example.com,9876500113,IT,4,64.2,6.62,0,false,0,74.7,58.8,1
S114,Diya Sharma,diya.sharma114@example.com,9876500114,CE,1,77.1,6.29,1,true,5000,71.6,78.1,1
S115,Diya Patel,diya.patel115@example.com,9876500115,CE,2,58.0,7.97,4,false,0,57.7,40.2,0
S116,Neeraj Sharma,neeraj.sharma116@example.com,9876500116,IT,2,72.0,5.08,0,false,0,68.0,26.3,3
S117,Rohan Patel,rohan.patel117@example.com,9876500117,IT,1,88.1,8.0,0,false,0,41.9,59.8,2
S118,Aditya Mehta,aditya.mehta118@example.com,9876500118,ME,2,52.7,4.72,0,false,0,85.9,71.1,0
S119,Neeraj Mehta,neeraj.mehta119@example.com,9876500119,ECE,4,82.4,7.4,4,false,0,41.9,38.2,1
S120,Sneha Mehta,sneha.mehta120@example.com,9876500120,CE,2,81.9,9.39,2,true,12000,60.5,72.3,2
S121,Rohan Nair,rohan.nair121@example.com,9876500121,ME,2,79.5,5.68,4,false,0,70.4,79.9,1
S122,Diya Das,diya.das122@example.com,9876500122,ME,8,92.7,7.4,3,false,0,50.7,42.7,4
S123,Aarav Nair,aarav.nair123@example.com,9876500123,CE,7,75.0,7.3,1,false,0,77.3,23.8,4
S124,Diya Singh,diya.singh124@example.com,9876500124,CSE,8,54.1,5.66,1,false,0,52.6,58.7,4
S125,Manav Kaur,manav.kaur125@example.com,9876500125,IT,6,56.1,5.36,3,false,0,79.1,52.8,3
S126,Aarav Verma,aarav.verma126@example.com,9876500126,IT,7,76.6,5.99,3,true,15000,59.2,64.1,0
S127,Neeraj Patel,neeraj.patel127@example.com,9876500127,CSE,3,77.2,7.2,0,false,0,64.9,71.7,1
S128,Manav Mehta,manav.mehta128@example.com,9876500128,ME,5,54.7,5.63,1,true,15000,67.4,23.4,2
S129,Aarav Rao,aarav.rao129@example.com,9876500129,CE,6,58.8,4.95,0,true,8000,76.0,72.0,2
S130,Rohan Mehta,rohan.mehta130@example.com,9876500130,ME,2,60.4,7.15,1,false,0,83.1,77.5,2
S131,Aarav Mehta,aarav.mehta131@example.com,9876500131,EEE,6,84.3,6.49,4,false,0,73.8,56.1,4
S132,Rahul Sharma,rahul.sharma132@example.com,9876500132,ME,7,58.6,7.47,1,false,0,69.4,54.8,2
S133,Kriti Verma,kriti.verma133@example.com,9876500133,CSE,8,54.0,8.05,4,true,5000,81.9,30.8,3
S134,Rahul Singh,rahul.singh134@example.com,9876500134,ME,6,60.4,4.85,0,false,0,45.4,33.1,0
S135,Rohan Patel,rohan.patel135@example.com,9876500135,EEE,1,54.3,9.44,0,false,0,65.7,70.2,1
S136,Simran Mehta,simran.mehta136@example.com,9876500136,ME,7,67.4,5.23,2,false,0,64.8,52.7,1
S137,Rohan Singh,rohan.singh137@example.com,9876500137,ME,3,68.0,9.43,1,true,15000,70.2,74.0,1
S138,Rohan Nair,rohan.nair138@example.com,9876500138,CSE,2,55.5,5.39,0,true,12000,42.0,78.6,0
S139,Rohan Rao,rohan.rao139@example.com,9876500139,CE,5,56.0,9.25,4,false,0,87.5,60.4,2
S140,Kriti Singh,kriti.singh140@example.com,9876500140,EEE,2,87.5,4.91,4,false,0,88.2,33.1,4
S141,Rohan Kaur,rohan.kaur141@example.com,9876500141,IT,7,67.0,5.62,0,true,15000,53.6,50.9,1
S142,Priya Sharma,priya.sharma142@example.com,9876500142,EEE,5,45.1,6.98,1,false,0,80.3,40.9,0
S143,Priya Verma,priya.verma143@example.com,9876500143,ME,1,71.9,6.04,0,false,0,47.8,65.9,4
S144,Rohan Nair,rohan.nair144@example.com,9876500144,ECE,7,78.9,8.17,0,false,0,42.6,27.7,4
S145,Rahul Singh,rahul.singh145@example.com,9876500145,EEE,2,72.6,7.12,0,false,0,79.6,47.0,2
S146,Priya Singh,priya.singh146@example.com,9876500146,CSE,1,42.9,6.36,2,false,0,65.3,45.4,2
S147,Rohan Das,rohan.das147@example.com,9876500147,CSE,4,89.4,9.29,2,false,0,45.7,44.6,0
S148,Simran Das,simran.das148@example.com,9876500148,ECE,7,42.3,8.32,0,false,0,56.5,72.8,0
S149,Kriti Singh,kriti.singh149@example.com,9876500149,ME,3,72.1,6.51,4,false,0,57.5,66.4,4
S150,Diya Patel,diya.patel150@example.com,9876500150,ME,6,79.0,4.62,2,false,0,56.3,69.4,1
S151,Aarav Rao,aarav.rao151@example.com,9876500151,CE,2,48.5,7.49,0,false,0,78.7,33.5,3
S152,Simran Das,simran.das152@example.com,9876500152,ME,2,56.5,9.14,0,false,0,81.7,46.9,0
S153,Kriti Singh,kriti.singh153@example.com,9876500153,CE,3,64.3,6.8,4,true,20000,78.3,38.4,2
S154,Rohan Das,rohan.das154@example.com,9876500154,CE,7,60.7,8.7,2,false,0,87.4,69.0,2
S155,Aarav Sharma,aarav.sharma155@example.com,9876500155,CSE,2,44.6,4.7,0,false,0,88.2,37.1,0
S156,Diya Patel,diya.patel156@example.com,9876500156,CSE,3,54.5,8.51,2,true,12000,54.4,38.7,1
S157,Aditya Verma,aditya.verma157@example.com,9876500157,EEE,2,78.6,8.93,4,true,20000,79.0,56.9,2
S158,Manav Mehta,manav.mehta158@example.com,9876500158,EEE,3,61.6,8.5,0,true,5000,52.3,52.1,2
S159,Kriti Sharma,kriti.sharma159@example.com,9876500159,IT,1,60.2,8.22,0,false,0,72.7,23.9,2
S160,Aarav Das,aarav.das160@example.com,9876500160,ME,3,94.6,8.31,0,false,0,45.2,20.1,4
S161,Kriti Patel,kriti.patel161@example.com,9876500161,IT,8,53.7,5.97,0,true,15000,85.5,69.6,2
S162,Neeraj Singh,neeraj.singh162@example.com,9876500162,EEE,7,80.7,4.98,1,false,0,46.4,42.8,0
S163,Aarav Patel,aarav.patel163@example.com,9876500163,IT,7,81.5,6.52,3,false,0,72.2,56.4,4
S164,Aditya Verma,aditya.verma164@example.com,9876500164,ECE,8,77.3,7.93,1,false,0,47.2,79.7,3
S165,Diya Rao,diya.rao165@example.com,9876500165,EEE,3,42.1,6.03,0,false,0,47.6,61.9,3
S166,Manav Nair,manav.nair166@example.com,9876500166,IT,1,54.1,8.0,0,false,0,84.6,32.5,2
S167,Aarav Das,aarav.das167@example.com,9876500167,CE,1,77.0,6.24,0,false,0,88.5,46.6,0
S168,Aditya Joshi,aditya.joshi168@example.com,9876500168,CE,1,64.0,6.33,3,true,12000,76.8,46.3,0
S169,Neeraj Sharma,neeraj.sharma169@example.com,9876500169,ECE,8,61.9,7.82,0,false,0,59.7,46.7,1
S170,Isha Joshi,isha.joshi170@example.com,9876500170,ECE,2,56.1,7.28,0,true,15000,78.0,37.0,2
S171,Kriti Mehta,kriti.mehta171@example.com,9876500171,ME,7,79.4,8.54,0,false,0,79.0,71.1,1
S172,Diya Rao,diya.rao172@example.com,9876500172,CE,5,55.2,6.56,3,true,12000,43.8,35.6,4
S173,Sneha Das,sneha.das173@example.com,9876500173,CSE,7,40.0,6.73,0,true,20000,41.9,59.2,0
S174,Kriti Nair,kriti.nair174@example.com,9876500174,CE,3,46.2,5.39,0,false,0,50.9,29.4,2
S175,Priya Verma,priya.verma175@example.com,9876500175,ECE,4,42.5,6.17,3,true,8000,82.1,47.5,4
S176,Aditya Sharma,aditya.sharma176@example.com,9876500176,EEE,6,48.1,5.77,4,false,0,52.9,77.4,2
S177,Priya Patel,priya.patel177@example.com,9876500177,CE,2,67.7,8.53,2,false,0,71.8,54.1,4
S178,Rohan Nair,rohan.nair178@example.com,9876500178,EEE,1,56.2,8.64,0,true,8000,79.2,28.3,0
S179,Neeraj Sharma,neeraj.sharma179@example.com,9876500179,EEE,7,63.0,5.55,1,true,12000,87.0,43.5,1
S180,Sneha Kaur,sneha.kaur180@example.com,9876500180,EEE,8,88.5,5.09,0,false,0,48.5,60.5,4
S181,Priya Kaur,priya.kaur181@example.com,9876500181,ME,1,54.2,4.73,4,true,5000,70.6,43.7,0
S182,Simran Joshi,simran.joshi182@example.com,9876500182,IT,3,56.5,9.0,0,false,0,53.5,66.0,4
S183,Rahul Verma,rahul.verma183@example.com,9876500183,CSE,6,58.1,8.57,2,false,0,43.0,22.4,1
S184,Aditya Kaur,aditya.kaur184@example.com,9876500184,EEE,3,94.7,7.51,0,false,0,73.5,66.0,1
S185,Manav Verma,manav.verma185@example.com,9876500185,ECE,5,83.9,6.44,2,false,0,84.2,65.1,0
S186,Manav Das,manav.das186@example.com,9876500186,CSE,5,48.6,6.11,0,false,0,65.7,50.3,3
S187,Isha Rao,isha.rao187@example.com,9876500187,IT,5,55.8,9.36,3,true,15000,47.5,55.1,1
S188,Isha Nair,isha.nair188@example.com,9876500188,ECE,2,50.9,8.7,1,false,0,68.6,66.6,3
S189,Rohan Singh,rohan.singh189@example.com,9876500189,EEE,7,92.2,6.68,0,false,0,49.8,66.3,1
S190,Isha Das,isha.das190@example.com,9876500190,IT,6,56.1,9.38,0,true,12000,75.3,26.7,1
S191,Manav Patel,manav.patel191@example.com,9876500191,CSE,6,94.9,6.9,0,false,0,50.5,48.8,3
S192,Diya Kaur,diya.kaur192@example.com,9876500192,CE,6,90.3,6.45,0,false,0,55.1,35.6,2
S193,Aarav Mehta,aarav.mehta193@example.com,9876500193,IT,3,82.6,8.37,0,false,0,60.7,53.0,0
S194,Diya Das,diya.das194@example.com,9876500194,CE,2,93.6,7.77,1,true,20000,73.0,48.2,1
S195,Priya Nair,priya.nair195@example.com,9876500195,IT,5,70.2,7.85,3,false,0,70.2,23.8,3
S196,Rohan Mehta,rohan.mehta196@example.com,9876500196,ECE,8,74.4,8.95,1,false,0,67.3,28.6,1
S197,Isha Das,isha.das197@example.com,9876500197,CE,7,91.1,6.5,2,true,15000,61.4,52.2,2
S198,Aditya Verma,aditya.verma198@example.com,9876500198,EEE,8,56.4,5.2,2,true,8000,86.9,33.5,2
S199,Priya Das,priya.das199@example.com,9876500199,CSE,5,45.8,7.16,0,true,5000,69.4,27.8,4
S200,Priya Mehta,priya.mehta200@example.com,9876500200,EEE,1,91.8,5.41,2,true,12000,82.2,52.9,0
S201,Rahul Joshi,rahul.joshi201@example.com,9876500201,CE,7,86.1,5.87,1,false,0,45.1,38.7,0
S202,Aditya Joshi,aditya.joshi202@example.com,9876500202,CE,2,75.0,8.82,2,false,0,77.2,41.5,2
S203,Manav Singh,manav.singh203@example.com,9876500203,IT,3,53.0,5.62,1,true,12000,86.7,26.6,0
S204,Priya Sharma,priya.sharma204@example.com,9876500204,IT,8,93.4,8.54,1,false,0,61.2,20.5,0
S205,Rohan Singh,rohan.singh205@example.com,9876500205,ECE,4,56.3,4.81,2,true,5000,51.7,67.5,4
S206,Rohan Patel,rohan.patel206@example.com,9876500206,ECE,8,80.3,8.47,4,true,15000,46.9,72.0,0
S207,Neeraj Das,neeraj.das207@example.com,9876500207,ECE,4,80.8,7.43,0,false,0,87.0,79.2,0
S208,Sneha Verma,sneha.verma208@example.com,9876500208,CSE,4,60.2,8.16,0,false,0,59.3,49.5,4
S209,Aditya Das,aditya.das209@example.com,9876500209,CSE,4,83.8,6.47,0,false,0,55.5,64.9,0
S210,Aarav Nair,aarav.nair210@example.com,9876500210,ME,6,84.1,6.47,2,true,15000,73.8,67.0,1
S211,Simran Kaur,simran.kaur211@example.com,9876500211,CE,3,72.0,8.8,4,false,0,72.5,64.1,3
S212,Priya Mehta,priya.mehta212@example.com,9876500212,ME,8,82.1,8.46,2,false,0,51.8,41.9,4
S213,Priya Verma,priya.verma213@example.com,9876500213,CE,7,67.6,9.17,0,false,0,60.1,32.7,1
S214,Rohan Nair,rohan.nair214@example.com,9876500214,CE,6,58.4,6.38,2,true,15000,73.3,46.2,3
S215,Rahul Das,rahul.das215@example.com,9876500215,IT,6,48.6,5.42,0,true,8000,79.1,50.2,3
S216,Isha Kaur,isha.kaur216@example.com,9876500216,CE,4,41.0,5.08,0,false,0,83.8,34.3,0
S217,Isha Verma,isha.verma217@example.com,9876500217,EEE,1,83.4,8.27,1,false,0,52.3,66.0,1
S218,Simran Das,simran.das218@example.com,9876500218,ME,1,41.8,6.2,4,true,8000,57.1,37.2,3
S219,Aditya Kaur,aditya.kaur219@example.com,9876500219,ECE,1,78.2,8.66,0,false,0,76.5,48.2,3
S220,Neeraj Patel,neeraj.patel220@example.com,9876500220,IT,5,55.8,7.23,0,false,0,42.5,43.2,1
S221,Priya Joshi,priya.joshi221@example.com,9876500221,ME,2,69.5,6.73,1,true,8000,42.3,33.0,0
S222,Simran Verma,simran.verma222@example.com,9876500222,EEE,3,68.7,8.76,4,false,0,51.4,53.9,3
S223,Aarav Das,aarav.das223@example.com,9876500223,EEE,7,57.4,5.91,0,false,0,86.8,35.3,0
S224,Rohan Das,rohan.das224@example.com,9876500224,IT,4,92.1,4.73,3,true,5000,84.3,37.2,0
S225,Sneha Patel,sneha.patel225@example.com,9876500225,EEE,4,52.2,8.07,0,true,20000,84.8,31.5,3
S226,Kriti Verma,kriti.verma226@example.com,9876500226,CE,7,85.4,7.96,1,true,5000,56.9,33.1,1
S227,Diya Kaur,diya.kaur227@example.com,9876500227,ECE,6,61.1,5.88,0,false,0,50.7,37.1,2
S228,Rohan Kaur,rohan.kaur228@example.com,9876500228,IT,7,53.9,9.39,1,true,8000,89.9,75.4,1
S229,Aditya Mehta,aditya.mehta229@example.com,9876500229,ME,3,42.7,7.1,0,false,0,69.2,61.9,3
S230,Aarav Kaur,aarav.kaur230@example.com,9876500230,CSE,6,64.4,8.47,0,true,20000,64.0,20.9,3
S231,Rohan Mehta,rohan.mehta231@example.com,9876500231,ME,2,54.9,8.03,0,false,0,78.7,37.7,0
S232,Simran Mehta,simran.mehta232@example.com,9876500232,EEE,7,64.1,7.38,0,false,0,44.5,55.3,4
S233,Diya Rao,diya.rao233@example.com,9876500233,ECE,3,57.3,8.32,0,false,0,64.7,72.8,3
S234,Manav Rao,manav.rao234@example.com,9876500234,ME,5,74.0,9.0,2,false,0,42.5,22.8,2
S235,Sneha Sharma,sneha.sharma235@example.com,9876500235,EEE,7,91.0,5.01,3,false,0,54.1,22.8,4
S236,Sneha Singh,sneha.singh236@example.com,9876500236,CSE,4,46.2,5.61,2,false,0,72.1,37.7,2
S237,Sneha Singh,sneha.singh237@example.com,9876500237,CSE,5,79.4,7.68,0,false,0,74.8,22.9,4
S238,Simran Patel,simran.patel238@example.com,9876500238,ME,2,84.3,9.18,4,false,0,69.0,79.0,1
S239,Rohan Singh,rohan.singh239@example.com,9876500239,EEE,3,49.7,8.2,0,false,0,89.7,50.4,2
S240,Simran Singh,simran.singh240@example.com,9876500240,ME,7,84.6,9.15,2,false,0,73.0,71.3,1
